t,Re_avg_C_LR,Im_avg_C_LR,Re_avg_C_LT,Im_avg_C_LT,Re_avg_C_LL,Im_avg_C_LL
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.8666474772645585e-01,7.7002757128387733e-01
2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.4670174921327819e-01,2.8517703475568335e-01
3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.9453978971857391e-01,-5.3636904572754426e-02
4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7086643209144722e-01,-4.8872311780952540e-02
5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2326935185656549e-01,1.4759434741239086e-01
6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0900959234157832e-02,2.6178502210050264e-01
7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4663168834575446e-01,1.9549531034401038e-01
8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2326104275276306e-01,6.5887619488263938e-02
9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3168196588196859e-02,7.6236792020724330e-03
1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.8318325122170714e-02,1.8561004159614720e-02
1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.1814822910625882e-02,1.1521219666409096e-02
1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-8.3328427603719848e-02,-4.7843342999604153e-02
1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.4786001973298455e-02,-1.0839729050093279e-01
1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4321212148856464e-02,-1.1648689729906099e-01
1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0065979880602208e-02,-7.6745665267865915e-02
1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.6092833071002083e-02,-2.1305906138901518e-02
1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.1084146013130733e-02,3.8016182047384418e-02
1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.9088531590535592e-02,9.7146322077485525e-02
1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.9460560203173765e-03,1.2546693319731644e-01
2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-8.1570589043097649e-02,8.7772145445260269e-02
2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-9.8407505540298368e-02,2.9254393235720391e-03
2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.7018227517179777e-02,-5.5969651828561152e-02
2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.1624146008356617e-02,-4.1606132729301547e-02
2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3381212761222997e-02,7.1195752348986443e-03
2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.7138238803522752e-02,1.1585459557717694e-02
2.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-8.1343164064134832e-02,-4.6225877696087395e-02
2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.3846015464824902e-02,-9.8513573119822062e-02
2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.5623414690931159e-02,-7.4864681130921068e-02
2.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0827657781696645e-01,1.2238260586881123e-02
3.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6616021325847037e-02,8.4295205225233719e-02
3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.4739760726816178e-02,8.7303275883526599e-02
3.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.8925575131837736e-02,4.1566396249423605e-02
3.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.9666778589258536e-02,1.2413423238113598e-03
3.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.8016325391248343e-03,-1.0874985456952955e-02
3.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-5.5283937977784808e-03,-1.2748446870619878e-02
3.6000000000000000e+01,-5.1243903274078120e-185,-3.3038188715061808e-186,-1.5572157407994186e-190,-1.6491806481988216e-191,-1.3912870899991861e-02,-2.2088101885357040e-02
3.7000000000000000e+01,-1.7727827443329671e-180,-1.6120722877622099e-181,-2.5684836410273113e-187,-3.0858641495339327e-188,-1.5736736357043872e-03,-3.0420006915241639e-02
3.8000000000000000e+01,-8.6992547280022615e-177,-9.1554804451922040e-178,-2.3770481444780304e-184,-3.0684219602615227e-185,2.0988607071029574e-02,-2.1673114011436803e-02
3.9000000000000000e+01,-1.7834470850975417e-173,-2.0570221452391595e-174,-1.4968474132002172e-181,-2.0382768973021145e-182,2.6256825109114427e-02,6.6554533127488494e-04
4.0000000000000000e+01,-2.1740752680715028e-170,-2.6524219704315625e-171,-7.0596278051432175e-179,-1.0025420860190998e-179,9.3003437236124694e-03,1.7103936277920333e-02
4.1000000000000000e+01,-1.7876690725564409e-167,-2.3075644874699577e-168,-2.6203657904531393e-176,-3.8653177021859644e-177,-9.8808769289071580e-03,1.6199802294634670e-02
4.2000000000000000e+01,-1.1063869752725219e-164,-1.4788553366757256e-165,-7.9384450624222075e-174,-1.2100196413871948e-174,-1.5708459134716607e-02,4.0716714279212000e-03
4.3000000000000000e+01,-5.9765824661955623e-162,-8.3179751016603449e-163,-2.0511401884919638e-171,-3.2283946219015387e-172,-1.1646179041497784e-02,-8.1126510116908898e-03
4.4000000000000000e+01,-2.5865099577548088e-159,-3.7262511921847303e-160,-4.4888800672961195e-169,-7.2785723200587680e-170,-5.7680842235820059e-03,-1.5695654832267404e-02
4.5000000000000000e+01,-9.2697313652338549e-157,-1.3768766649844911e-157,-8.4408657110576632e-167,-1.4076245820172144e-167,2.7437429736734500e-03,-1.7356261010533988e-02
4.6000000000000000e+01,-2.8141210303182435e-154,-4.2979276668137541e-155,-1.3786959299445706e-164,-2.3617448811287259e-165,1.5606502396937949e-02,-9.5565873476681634e-03
4.7000000000000000e+01,-7.3592754988370145e-152,-1.1530615468864995e-152,-1.9730323299136376e-162,-3.4685984774665062e-163,2.4043376248595694e-02,8.4392728862441087e-03
4.8000000000000000e+01,-1.6776160296007413e-149,-2.6930997416787296e-150,-2.4912400045149863e-160,-4.4915599157934803e-161,1.6363487577383897e-02,2.7279031819449750e-02
4.9000000000000000e+01,-3.3684675840606767e-147,-5.5305332558007855e-148,-2.7920154546085248e-158,-5.1593746739348722e-159,-5.3897266213637374e-03,3.2554148719509290e-02
5.0000000000000000e+01,-6.0499095364637657e-145,-1.0158959364669849e-145,-2.7930265748334873e-156,-5.2880250997953785e-157,-2.4662136640985186e-02,1.8687219614936572e-02
5.1000000000000000e+01,-9.7137951416140988e-143,-1.6667693720631332e-143,-2.5039914610236369e-154,-4.8552967087988597e-155,-2.6957192389004847e-02,-5.0984486519611103e-03
5.2000000000000000e+01,-1.4026916809545466e-140,-2.4576783412197293e-141,-2.0202245473763917e-152,-4.0104961324677783e-153,-1.2260497126450927e-02,-2.2984811063989755e-02
5.3000000000000000e+01,-1.8310264890618965e-138,-3.2740012758210344e-139,-1.4723942719544311e-150,-2.9916322768853403e-151,8.2402773362133461e-03,-2.4647637485421339e-02
5.4000000000000000e+01,-2.1703669165641273e-136,-3.9584065537341778e-137,-9.7280741186682910e-149,-2.0224644480820045e-149,2.1435993004298798e-02,-1.0858880501668878e-02
5.5000000000000000e+01,-2.3452904303201153e-134,-4.3610606666119589e-135,-5.8454847726695369e-147,-1.2431989335411908e-147,1.8227816719702940e-02,7.6544087067378650e-03
5.6000000000000000e+01,-2.3186719205545192e-132,-4.3940660120390691e-133,-3.2042485753095617e-145,-6.9697586417550379e-146,-7.7692439296903352e-04,1.5995097257896870e-02
5.7000000000000000e+01,-2.1050099462314748e-130,-4.0643327495202491e-131,-1.6068815675753218e-143,-3.5740611143529647e-144,-2.0442484178648496e-02,6.0379457870928391e-03
5.8000000000000000e+01,-1.7594880272004807e-128,-3.4601014769280450e-129,-7.3918900000451211e-142,-1.6809013428385332e-142,-1.9788109798465611e-02,-1.3364274272101585e-02
5.9000000000000000e+01,-1.3578854804784388e-126,-2.7189658820777862e-127,-3.1270701572582233e-140,-7.2687982039749257e-141,4.6652805490821356e-03,-2.1038168786689335e-02
6.0000000000000000e+01,-9.7013227615178387e-125,-1.9773764171772297e-125,-1.2194484752870394e-138,-2.8971011245901952e-139,2.7696899858304230e-02,-5.6321776224879617e-03
6.1000000000000000e+01,-6.4323083548748972e-123,-1.3342260807931163e-123,-4.3934632681154109e-137,-1.0666613131505550e-137,2.0040733706544148e-02,1.7693800050616746e-02
6.2000000000000000e+01,-3.9672178818889960e-121,-8.3723286905927077e-122,-1.4655026834401669e-135,-3.6356059431191811e-136,-1.3265273856827216e-02,2.1265217689111601e-02
6.3000000000000000e+01,-2.2811312708325550e-119,-4.8967209546371322e-120,-4.5349040828208238e-134,-1.1494429367105768e-134,-3.1999600068746727e-02,-9.4871977697594994e-04
6.4000000000000000e+01,-1.2254021658422784e-117,-2.6750532102535781e-118,-1.3042696172512858e-132,-3.3773930159013254e-133,-8.3377490871557585e-03,-2.1325004715289034e-02
6.5000000000000000e+01,-6.1621428535022324e-116,-1.3676996482655750e-116,-3.4926319136702217e-131,-9.2392176951632248e-132,3.3095041520187767e-02,-9.9250389752348882e-03
6.6000000000000000e+01,-2.9062714776565081e-114,-6.5570815663500737e-115,-8.7226284111892859e-130,-2.3571045296196512e-130,3.9260172758268930e-02,2.5401938843225658e-02
6.7000000000000000e+01,-1.2878935872498250e-112,-2.9531365237851584e-113,-2.0348402557858984e-128,-5.6169399322980746e-129,-5.6083120997569005e-03,4.2628140910748659e-02
6.8000000000000000e+01,-5.3717455061571024e-111,-1.2515984932910024e-111,-4.4405709196437167e-127,-1.2521128743504290e-127,-5.4502381463835611e-02,1.4398028027199338e-02
6.9000000000000000e+01,-2.1123279618521371e-109,-5.0000797869255862e-110,-9.0775596413059575e-126,-2.6146585206389951e-126,-4.9796405596952358e-02,-3.5636254658355425e-02
7.0000000000000000e+01,-7.8434128698213129e-108,-1.8858599350790304e-108,-1.7405143679401370e-124,-5.1212968162699595e-125,7.2695689842924910e-03,-5.6058345959582589e-02
7.1000000000000000e+01,-2.7542586276328812e-106,-6.7254819722229469e-107,-3.1338740940715009e-123,-9.4203176016306706e-124,5.5469637002146646e-02,-2.5720991942794931e-02
7.2000000000000000e+01,-9.1598863259596549e-105,-2.2711782240062525e-105,-5.3046824974425118e-122,-1.6291495514157425e-122,4.3751923534898270e-02,2.1957860875510198e-02
7.3000000000000000e+01,-2.8891161397859722e-103,-7.2727582498794932e-104,-8.4498892135584961e-121,-2.6516587738765478e-121,-1.1304739628762916e-02,3.7038416265134655e-02
7.4000000000000000e+01,-8.6538327975592224e-102,-2.2113049310291321e-102,-1.2678192875149512e-119,-4.0658305275523081e-120,-4.7203980227267364e-02,8.2012831978255738e-03
7.5000000000000000e+01,-2.4647686605754961e-100,-6.3923056044158341e-101,-1.7932456693513199e-118,-5.8780233633166554e-119,-2.6736857767576394e-02,-2.7750487054992612e-02
7.6000000000000000e+01,-6.6834602955400129e-99,-1.7589820901994347e-99,-2.3928692462954825e-117,-8.0186284437201020e-118,2.4848199038297509e-02,-2.8808353002402389e-02
7.7000000000000000e+01,-1.7274141216078325e-97,-4.6129075683353574e-98,-3.0142068737514844e-116,-1.0328838478373901e-116,5.2684035849122422e-02,8.1040631279364513e-03
7.8000000000000000e+01,-4.2604339668645722e-96,-1.1542289768937388e-96,-3.5862064634595316e-115,-1.2570104408671585e-115,3.0279874610337983e-02,4.7403178759686665e-02
7.9000000000000000e+01,-1.0037994067954392e-94,-2.7585984594995939e-95,-4.0317222776922890e-114,-1.4460071389118526e-114,-1.9901890791783516e-02,5.2317849982909878e-02
8.0000000000000000e+01,-2.2616803157898517e-93,-6.3040792822830842e-94,-4.2842139201353914e-113,-1.5729152414252395e-113,-5.4330727279395752e-02,1.7686056976539109e-02
8.1000000000000000e+01,-4.8780366140557271e-92,-1.3788966229322059e-92,-4.3037814304230602e-112,-1.6182617094310111e-112,-4.7424762538935655e-02,-2.9495348928057285e-02
8.2000000000000000e+01,-1.0081161024949171e-90,-2.8896317156466957e-91,-4.0872782035543285e-111,-1.5748724106959460e-111,-7.3537342001704850e-03,-5.4646585740502698e-02
8.3000000000000000e+01,-1.9981787354414148e-89,-5.8071410505458112e-90,-3.6690347020006519e-110,-1.4496739148125100e-110,3.4618543656136466e-02,-4.1685160790817702e-02
8.4000000000000000e+01,-3.8019664943754562e-88,-1.1201724771980243e-88,-3.1119980479517131e-109,-1.2618778691513835e-109,4.7323123045067250e-02,-3.3668738487121737e-03
8.5000000000000000e+01,-6.9504071791633425e-87,-2.0758191666686884e-87,-2.4924137170368233e-108,-1.0382030803613189e-108,2.2162716785664904e-02,2.9017250482627665e-02
8.6000000000000000e+01,-1.2218127842116339e-85,-3.6986415490193168e-86,-1.8831121574280174e-107,-8.0675327607785481e-108,-1.8244847074005019e-02,3.0451815616106114e-02
8.7000000000000000e+01,-2.0670129701739709e-84,-6.3415622739049868e-85,-1.3403131569777536e-106,-5.9144620060626562e-107,-3.6667694980210469e-02,3.9695172337009289e-03
8.8000000000000000e+01,-3.3679475812579881e-83,-1.0471104919071623e-83,-8.9694108757767346e-106,-4.0844018154259936e-106,-1.5605304863619669e-02,-2.1221379302459768e-02
8.9000000000000000e+01,-5.2893078264640113e-82,-1.6663270313936972e-82,-5.6280844519118800e-105,-2.6511329101576593e-105,2.2630953177336890e-02,-1.7879587134268633e-02
9.0000000000000000e+01,-8.0123596565030963e-81,-2.5575110422232363e-81,-3.2984348470925775e-104,-1.6124681611843138e-104,3.6282484443672977e-02,1.0605259716213867e-02
9.1000000000000000e+01,-1.1715373233648036e-79,-3.7885387141986680e-80,-1.7953253927136522e-103,-9.1495991925540208e-104,8.6912273557749140e-03,3.2552541034567332e-02
9.2000000000000000e+01,-1.6545571129668233e-78,-5.4202589750294111e-79,-8.9973341922290478e-103,-4.8123012525299269e-103,-3.1600881084080899e-02,2.1820212091930496e-02
9.3000000000000000e+01,-2.2585173181531315e-77,-7.4946234316948781e-78,-4.0935492467104283e-102,-2.3226180471307087e-102,-4.0895399314820606e-02,-1.2862116533721959e-02
9.4000000000000000e+01,-2.9816582495113426e-76,-1.0021646341986203e-76,-1.6481687047742085e-101,-1.0114482705265956e-101,-8.7472844487531693e-03,-3.6547317523566783e-02
9.5000000000000000e+01,-3.8093675775085661e-75,-1.2967517186993248e-75,-5.5561482411488786e-101,-3.8485399532950949e-101,3.0472479730222456e-02,-2.5905883811778913e-02
9.6000000000000000e+01,-4.7126772571290363e-74,-1.6246638431168924e-74,-1.3225851471680051e-100,-1.1859498829358536e-100,3.6339627113973601e-02,6.1744704523158276e-03
9.7000000000000000e+01,-5.6487624638067668e-73,-1.9720198758422114e-73,-7.8662814281245384e-102,-2.2164837409545730e-100,6.5642321884466191e-03,2.6326690583462601e-02
9.8000000000000000e+01,-6.5637620001887575e-72,-2.3203013675181029e-72,2.3123808367013558e-99,4.3644890695804260e-100,-2.3475797113258454e-02,1.7522183213783529e-02
9.9000000000000000e+01,-7.3977859469226532e-71,-2.6478872214264543e-71,1.7336978135905794e-98,7.1885017838090940e-99,-2.2700803474662596e-02,-5.0134034285642661e-03
1.0000000000000000e+02,-8.0914874743085844e-70,-2.9322830781994879e-70,8.6746881955510163e-98,4.5401570140312545e-98,2.3827191513788267e-03,-1.4494976439240860e-02
1.0100000000000000e+02,-8.5931797214110687e-69,-3.1527240209959318e-69,3.3014327617543569e-97,2.0664961697224442e-97,1.9605231016894313e-02,-3.3149988650310836e-03
1.0200000000000000e+02,-8.8652886278118391e-68,-3.2927234352630730e-68,9.0265050039002459e-97,7.1732533069513201e-97,1.0320516684605225e-02,1.1439055795493829e-02
1.0300000000000000e+02,-8.8890098716944193e-67,-3.3421265752523549e-67,9.9883738177971819e-97,1.6810683645385234e-96,-1.1341819326316312e-02,1.0851843874501763e-02
1.0400000000000000e+02,-8.6663708963212838e-66,-3.2983120283502227e-66,-6.9230857382708618e-96,3.6653370139139366e-97,-1.8766928965866410e-02,-3.8692838821755317e-03
1.0500000000000000e+02,-8.2194052532319073e-65,-3.1663480541500752e-65,-5.9022758401856354e-95,-2.2300412287116774e-95,-4.8681384203742356e-03,-1.5215512414276369e-02
1.0600000000000000e+02,-7.5866990362794102e-64,-2.9581127127235346e-64,-2.7321493122894565e-94,-1.4725999050317175e-94,1.2448141755984075e-02,-1.1311000718114240e-02
1.0700000000000000e+02,-6.8180347317513348e-63,-2.6905771716433923e-63,-8.6884640574482589e-94,-6.0761700902578462e-94,1.4428749151322586e-02,1.6778727510621282e-03
1.0800000000000000e+02,-5.9681352234117873e-62,-2.3835870162866282e-62,-1.5744369627988250e-93,-1.7137388670646519e-93,3.1012474688232637e-03,9.6765012368046580e-03
1.0900000000000000e+02,-5.0905562024017334e-61,-2.0575309421751113e-61,2.0346620241568998e-93,-2.2337563278708660e-93,-5.0843850793257780e-03,8.0595688502694204e-03
1.1000000000000000e+02,-4.2326077877759464e-60,-1.7312570001303163e-60,3.1683859418644134e-92,8.8920714455820872e-93,-2.1938027506229071e-03,4.2676658665969829e-03
1.1100000000000000e+02,-3.4318737142389747e-59,-1.4205015144397990e-59,1.5386254564493276e-91,7.8730385317103328e-92,2.5445579003531326e-03,4.8117295834670297e-03
1.1200000000000000e+02,-2.7145303068847596e-58,-1.1369657902446165e-58,4.7055751352128919e-91,3.3334389234581954e-91,-1.8318739503376108e-03,5.8655818890337042e-03
1.1300000000000000e+02,-2.0953346195885449e-57,-8.8804443638255941e-58,7.4877565562728683e-91,8.9932143875330549e-91,-1.1158073959939126e-02,9.4029397391104388e-05
1.1400000000000000e+02,-1.5789131231642333e-56,-6.7710393923489685e-57,-1.3994621995636012e-90,9.9538245842428629e-91,-1.1487222203588547e-02,-1.0744261525448207e-02
1.1500000000000000e+02,-1.1618656579708868e-55,-5.0414664804380583e-56,-1.5670880037461276e-89,-4.8759167198203221e-90,7.7368826266674656e-04,-1.5969948614523957e-02
1.1600000000000000e+02,-8.3519729967099015e-55,-3.6667630554811410e-55,-6.5067542931174522e-89,-3.6254403877930363e-89,1.2262840332343370e-02,-9.6271780012454258e-03
1.1700000000000000e+02,-5.8667351866042217e-54,-2.6059905835274483e-54,-1.6061104119970125e-88,-1.3229197470933581e-88,9.8070946463695175e-03,1.0337750766390805e-03
1.1800000000000000e+02,-4.0282193193150940e-53,-1.8103506619454421e-53,-1.1710274176932015e-88,-2.8130568025182690e-88,-1.5921051441066334e-03,4.6404635781130332e-03
