t,avg_absC2_LR,avg_absC2_LT,avg_absC2_LL
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.2978503721700270e-01
2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.8020874374490310e-01
3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0722647316056938e-02
4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1583840457163607e-02
5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.1633293676653359e-02
6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.8968238647292124e-02
7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.9719354282046097e-02
8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9535301985103243e-02
9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3198432346660400e-04
1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.7404976851360532e-04
1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.9037029292028021e-03
1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.4393633639408246e-03
1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4278067414772697e-02
1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4859576903190508e-02
1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0129345002815430e-02
1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.3014167270334410e-03
1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,7.4910114627870956e-03
1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.5995338881851739e-02
1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.0674015231971061e-02
