t,avg_absC2_LR,avg_absC2_LT,avg_absC2_LL
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.2978503721700303e-01
2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.8020874374490232e-01
3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0722647315893749e-02
4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1583840474475780e-02
5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.1633294866545225e-02
6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.8968247894349563e-02
7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.9719268505239738e-02
8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9534467207485834e-02
9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3159772295368677e-04
1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.8081407186564957e-04
1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.8852445526285014e-03
1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.2448533891054483e-03
1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3780211342605498e-02
1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4231519928270278e-02
1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.7724656663746266e-03
1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.4693078968740087e-03
1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,7.3775639937218133e-03
1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4415467917754785e-02
1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.9821589478071534e-02
2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.1639361235083823e-02
2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.7746853333391675e-02
2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4132637629365853e-02
2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.1177554419760769e-02
2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.2229476058499866e-02
2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.2761965396228070e-02
2.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.3246553730401612e-02
2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.3842819974507284e-02
2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.3910010090090648e-02
2.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.7331120688697712e-02
3.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.9621249435420185e-02
3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.5098800635260043e-02
3.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.3552950645904895e-02
3.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.2904766625160933e-02
3.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.8194683759112843e-03
3.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3944170713874878e-02
3.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0788836765922145e-02
3.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3357963359485117e-02
3.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.9066932394387830e-02
3.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6575294224087826e-02
4.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.7415986867270902e-02
4.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.8029231188709562e-02
4.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4159232586972267e-02
4.3000000000000000e+01,3.4584595208887258e-323,0.0000000000000000e+00,1.4497374555447820e-02
4.4000000000000000e+01,6.8417024878545802e-318,0.0000000000000000e+00,1.3266877778468781e-02
4.5000000000000000e+01,8.8003020735425002e-313,0.0000000000000000e+00,9.1360456807446696e-03
4.6000000000000000e+01,8.1219478816763792e-308,0.0000000000000000e+00,9.9212521514712177e-03
4.7000000000000000e+01,5.5621643918145708e-303,4.9406564584124654e-324,1.0855343783467822e-02
4.8000000000000000e+01,2.8943823443195901e-298,6.4786828139162659e-320,8.8017410729533934e-03
4.9000000000000000e+01,1.1684939106924532e-293,8.1603592500140547e-316,9.4685745394541693e-03
5.0000000000000000e+01,3.7746040232899272e-289,8.1908552833444161e-312,1.0958278091216559e-02
5.1000000000000000e+01,9.7447085370267433e-285,6.6042993661535491e-308,1.1046945740327004e-02
5.2000000000000000e+01,2.0348881469276022e-280,4.3134624561703342e-304,1.1957813161267400e-02
5.3000000000000000e+01,3.4724847534941270e-276,2.2994906768693303e-300,1.4316092134231784e-02
5.4000000000000000e+01,4.8861140598046485e-272,1.0076097005151397e-296,1.7872508111177247e-02
5.5000000000000000e+01,5.7141168618766111e-268,3.6529288125773769e-293,1.9200107943760647e-02
5.6000000000000000e+01,5.5937875359225302e-264,1.1023735300299790e-289,2.0141847971404739e-02
5.7000000000000000e+01,4.6176730272423376e-260,2.7851211940131816e-286,1.9674884942832670e-02
5.8000000000000000e+01,3.2313929054781247e-256,5.9227122451942562e-283,1.5621951817943923e-02
5.9000000000000000e+01,1.9277955505061159e-252,1.0655208904928636e-279,1.6151408355631381e-02
6.0000000000000000e+01,9.8566621990237215e-249,1.6294683340080667e-276,1.4729012488478372e-02
6.1000000000000000e+01,4.3406124513792924e-245,2.1278107462375668e-273,9.8787378039035343e-03
6.2000000000000000e+01,1.6540749658238359e-241,2.3827229338742468e-270,1.2005653716783206e-02
6.3000000000000000e+01,5.4785546568507131e-238,2.2972809237811359e-267,1.1374255771520868e-02
6.4000000000000000e+01,1.5838794997938384e-234,1.9142688429633682e-264,9.8604120549006941e-03
