t,avg_absC2_LR,avg_absC2_LT,avg_absC2_LL
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.2978503721700148e-01
2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.8020874374490238e-01
3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0722647315893729e-02
4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1583840474475780e-02
5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.1633294866540381e-02
6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.8968247893068588e-02
7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.9719268393627387e-02
8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9534463062328738e-02
9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3152188596151118e-04
1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.8007191069478562e-04
1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.8812179176486547e-03
1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.2326123162861529e-03
1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3755758560695905e-02
1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4160718602751669e-02
1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.4978190764242309e-03
1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.8222042197510282e-03
1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.4981859118759637e-03
1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.2928862458708276e-02
1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.5745738459974078e-02
2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4357710512901842e-02
2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.6925953418997533e-03
2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.8625865439804487e-03
2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.3961227317803782e-03
2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.9326179721598793e-03
2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.5134716545909949e-03
2.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.7535421087383877e-03
2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0273556542383197e-02
2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.1323621330351030e-02
2.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.1873592325945996e-02
3.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.2787350682160957e-03
3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.8287129553515989e-03
3.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.1999887017819503e-03
3.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.8165868262897408e-04
3.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.2611445357322131e-04
3.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.9308603559633339e-04
3.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.8145222157775368e-04
3.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.2785326943506038e-04
3.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.1024549773481079e-04
3.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.8986381539860387e-04
4.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.7904102957649717e-04
4.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.6006532326946053e-04
4.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.6333419660401150e-04
4.3000000000000000e+01,3.4584595208887258e-323,0.0000000000000000e+00,2.0144859270411142e-04
4.4000000000000000e+01,6.8288814843449999e-318,0.0000000000000000e+00,2.7962437622401474e-04
4.5000000000000000e+01,8.7823708934261921e-313,0.0000000000000000e+00,3.0876792177136469e-04
4.6000000000000000e+01,8.1039989955710427e-308,0.0000000000000000e+00,3.3489127879924116e-04
4.7000000000000000e+01,5.5488486798691083e-303,4.9406564584124654e-324,6.4930526828003044e-04
4.8000000000000000e+01,2.8869234049596557e-298,6.4080314265609677e-320,1.0119093027017494e-03
4.9000000000000000e+01,1.1652441845802756e-293,8.0615417730681220e-316,1.0888217519049647e-03
5.0000000000000000e+01,3.7633449953125337e-289,8.0806295422844761e-312,9.5743316063549432e-04
5.1000000000000000e+01,9.7135936192893403e-285,6.5057122981840164e-308,7.5268440015450490e-04
5.2000000000000000e+01,2.0279457801080970e-280,4.2421480141075379e-304,6.7862132943501715e-04
5.3000000000000000e+01,3.4598488471871134e-276,2.2574435288852408e-300,6.7540820419045844e-04
5.4000000000000000e+01,4.8671823769625366e-272,9.8725788502059520e-297,5.7741708182987154e-04
5.5000000000000000e+01,5.6905757039298107e-268,3.5715235815869386e-293,3.9084327501686642e-04
5.6000000000000000e+01,5.5693176363495529e-264,1.0752984287616546e-289,2.5644674780197027e-04
5.7000000000000000e+01,4.5962548807216656e-260,2.7098075007046224e-286,4.5435194872216623e-04
5.8000000000000000e+01,3.2155211401682351e-256,5.7465467097123436e-283,5.7017311621608720e-04
5.9000000000000000e+01,1.9177807327731911e-252,1.0306922041716064e-279,4.6436938849887360e-04
6.0000000000000000e+01,9.8025680818352788e-249,1.5709865331409027e-276,7.9883968653218687e-04
6.1000000000000000e+01,4.3154750006861968e-245,2.0440285845251406e-273,7.1470156772782015e-04
6.2000000000000000e+01,1.6439776599413029e-241,2.2798744209067655e-270,6.2817697386192842e-04
6.3000000000000000e+01,5.4433386358459718e-238,2.1886574105138810e-267,1.0248744737749609e-03
6.4000000000000000e+01,1.5731695648278266e-234,1.8151870703234055e-264,5.2427388594746634e-04
6.5000000000000000e+01,3.9842606874834416e-231,1.3052109120573890e-261,1.1937881718828841e-03
6.6000000000000000e+01,8.8763670885174216e-228,8.1640188163239995e-259,2.1866196620040990e-03
6.7000000000000000e+01,1.7458800453603606e-224,4.4560750085972666e-256,1.8486115621149232e-03
6.8000000000000000e+01,3.0422148571327334e-221,2.1286456742499540e-253,3.1778127963014691e-03
6.9000000000000000e+01,4.7119373971786209e-218,8.9238528221016844e-251,3.7496246564513473e-03
7.0000000000000000e+01,6.5075593141214864e-215,3.2916670758094236e-248,3.1953847849416372e-03
