t,avg_absC2_LR,avg_absC2_LT,avg_absC2_LL
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.2978503721699681e-01
2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.8020874374490288e-01
3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0722647315895054e-02
4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1583840474261243e-02
5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.1633294847439494e-02
6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.8968247721438058e-02
7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.9719270508250141e-02
8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9534488301932863e-02
9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3161370556263447e-04
1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.8068750875324247e-04
1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.8862031901160016e-03
1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.2524197797352447e-03
1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3800053718842303e-02
1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4260437866554844e-02
1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.8035783572495306e-03
1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.5069846209935104e-03
1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,7.4642716174508862e-03
1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4629096272917044e-02
1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.0167147005051792e-02
2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.2049855840855136e-02
2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.8220981487851472e-02
2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4647031792897535e-02
2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.1715069369255286e-02
2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.2905217971131840e-02
2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.3486224550780560e-02
2.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.3825579452714645e-02
2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.4368197197551749e-02
2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.4477288265150584e-02
2.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.8133174322534331e-02
3.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.0776198520041737e-02
3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.6149956065003414e-02
3.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.4478793783496992e-02
3.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4033302436168651e-02
3.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0744043632094981e-02
3.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4605091436495051e-02
3.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.1325980771975953e-02
3.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3381949708725402e-02
3.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.8909920349013194e-02
3.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6355979616408244e-02
4.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6755800142156441e-02
4.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.7469224452713671e-02
4.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3585518190497956e-02
