t,avg_absC2_LR,avg_absC2_LT,avg_absC2_LL
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.9294237509178782e-01
2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.1318907332106422e-02
3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9036389959387040e-03
4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5628521401804840e-03
5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9901411744394647e-02
6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0854488982280200e-02
7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.9790508197096336e-02
8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.9759776749757327e-03
9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2178813034331937e-07
1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.4493391902705430e-04
1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.4414743135731310e-04
1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.2150082773374996e-03
1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.4602982584708279e-03
1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.9961723876078860e-03
1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.9382581418057815e-05
1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.4286001437118536e-03
1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.7509342421579969e-03
1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.4619704429288368e-03
1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.5675547422637129e-03
2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.2451765652774980e-02
2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.1163638706957803e-02
2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.1007913951541213e-02
2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0679964458695609e-02
2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3184109704021145e-03
2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.0264130144283455e-04
2.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.9216750772973347e-03
2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.2403143036748745e-03
2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.1436764430916334e-04
2.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3758268421902573e-04
3.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.5556320611631429e-05
3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.2781288761756091e-05
3.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6577206608671988e-03
3.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.5112459000504037e-03
3.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.1395339562510254e-03
3.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.4849047654769488e-03
3.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.4408447338818799e-03
3.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.9744614441076772e-03
3.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3397121896468618e-02
3.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.9970338530476375e-02
4.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6848812866520534e-02
4.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.2053723703903322e-02
4.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.3406367416291799e-02
4.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.0477129108549628e-02
4.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.4191755522819287e-02
4.5000000000000000e+01,9.8813129168249309e-324,4.9406564584124654e-324,1.7293945000134800e-02
4.6000000000000000e+01,6.2487940689063339e-319,4.0519805812378153e-319,7.5448203309138959e-03
4.7000000000000000e+01,2.6639585231362877e-314,1.6966879952595674e-314,2.5061662471380546e-03
4.8000000000000000e+01,8.7376945819802889e-310,5.4678754090490476e-310,8.3487672280779942e-04
4.9000000000000000e+01,2.2428033709339749e-305,1.3792628306808271e-305,1.3925761058074793e-04
5.0000000000000000e+01,4.5996239990844035e-301,2.7791812059185319e-301,3.6707602135653241e-05
5.1000000000000000e+01,7.5697506189774915e-297,4.4937336547210261e-297,1.7491699351245937e-04
5.2000000000000000e+01,1.0102060340515574e-292,5.8915848718357027e-293,3.8260869745518322e-07
5.3000000000000000e+01,1.1032314257316455e-288,6.3202222871244016e-289,4.7182133667932367e-04
5.4000000000000000e+01,9.9399198733408865e-285,5.5927302253479469e-285,1.2276392057955598e-03
5.5000000000000000e+01,7.4428372679145044e-281,4.1122908559541726e-281,1.2009301434188077e-03
5.6000000000000000e+01,4.6629692906260467e-277,2.5294875008927525e-277,1.1577049601567771e-03
5.7000000000000000e+01,2.4601290895151375e-273,1.3099817179262002e-273,2.1220324983661229e-03
5.8000000000000000e+01,1.0990756816628567e-269,5.7436954017490530e-270,4.5427211036042515e-03
5.9000000000000000e+01,4.1806046751375461e-266,2.1437744512670167e-266,7.0632080063051271e-03
6.0000000000000000e+01,1.3608788962293509e-262,6.8463185039241443e-263,7.7205424094457303e-03
6.1000000000000000e+01,3.8095343101326670e-259,1.8798825788367636e-259,6.8323236508597970e-03
6.2000000000000000e+01,9.2127064172588977e-256,4.4585575167961006e-256,5.7737709660072743e-03
6.3000000000000000e+01,1.9331012187473867e-252,9.1736038870147722e-253,4.9603683198757766e-03
6.4000000000000000e+01,3.5340345299895219e-249,1.6442512795138227e-249,4.0771943259517102e-03
6.5000000000000000e+01,5.6512014513166826e-246,2.5774358128778233e-246,2.9596482166715115e-03
6.6000000000000000e+01,7.9339805582646825e-243,3.5467420266655347e-243,1.8028803354070344e-03
6.7000000000000000e+01,9.8145914034585354e-240,4.2997980422883500e-240,8.5666938994535867e-04
6.8000000000000000e+01,1.0734036693225571e-236,4.6081499695486627e-237,2.7051393413366723e-04
6.9000000000000000e+01,1.0412991781726103e-233,4.3800754190739672e-234,4.8685014008909747e-05
7.0000000000000000e+01,8.9878988005146955e-231,3.7039595125697698e-231,2.3437459790926540e-05
7.1000000000000000e+01,6.9230895807616592e-228,2.7949508042135515e-228,1.6053572387933913e-04
7.2000000000000000e+01,4.7723612374847166e-225,1.8873076193971037e-225,8.8534645219548035e-04
7.3000000000000000e+01,2.9521431087749272e-222,1.1435519179737302e-222,2.6951684979157021e-03
7.4000000000000000e+01,1.6430125206946701e-219,6.2337214524370752e-220,5.3170141762556716e-03
7.5000000000000000e+01,8.2475401971272010e-217,3.0648063565244380e-217,7.6432839391353631e-03
7.6000000000000000e+01,3.7430306581319347e-214,1.3622702784948532e-214,9.0297400083373825e-03
7.7000000000000000e+01,1.5393231493127858e-211,5.4868800072643136e-212,1.0344942363112019e-02
7.8000000000000000e+01,5.7490320568245311e-209,2.0069933709906308e-209,1.3184896383830868e-02
7.9000000000000000e+01,1.9540250957969781e-206,6.6810087840876801e-207,1.8062894928142979e-02
8.0000000000000000e+01,6.0563471015097026e-204,2.0281213307405958e-204,2.2708653257476362e-02
8.1000000000000000e+01,1.7150462059450598e-201,5.6253079143690789e-202,2.3423578023411610e-02
8.2000000000000000e+01,4.4456030506582586e-199,1.4282688688507147e-199,1.9988707339319504e-02
8.3000000000000000e+01,1.0566916658804104e-196,3.3255493666281799e-197,1.6053067215130626e-02
8.4000000000000000e+01,2.3071221981164569e-194,7.1130204695872203e-195,1.4185947198452764e-02
8.5000000000000000e+01,4.6345751462556381e-192,1.3999087652440668e-192,1.3726637180003580e-02
8.6000000000000000e+01,8.5792658142331159e-190,2.5391579866392665e-190,1.2314591578710477e-02
8.7000000000000000e+01,1.4657088998423959e-187,4.2509497180465294e-188,8.9293281163547959e-03
8.8000000000000000e+01,2.3143712323292417e-185,6.5784575424022061e-186,5.2126517853522507e-03
8.9000000000000000e+01,3.3822915770708903e-183,9.4235445834230523e-184,2.8666824891198286e-03
9.0000000000000000e+01,4.5810229629032260e-181,1.2512450301737475e-181,1.9131205465205030e-03
9.1000000000000000e+01,5.7576395361851983e-179,1.5419503394137929e-179,1.7181082302158074e-03
9.2000000000000000e+01,6.7234395662052480e-177,1.7657836939001227e-177,1.8659495526959901e-03
9.3000000000000000e+01,7.3032474200039284e-175,1.8813109949766430e-175,2.1898606695108201e-03
9.4000000000000000e+01,7.3876971929793329e-173,1.8669594220631974e-173,2.5555583382750428e-03
9.5000000000000000e+01,6.9669236011452782e-171,1.7275651649918816e-171,2.7341157768456712e-03
9.6000000000000000e+01,6.1314330669746890e-169,1.4921506629457651e-169,2.6291032467103490e-03
9.7000000000000000e+01,5.0408322460576823e-167,1.2042113232120769e-167,2.4972700499370439e-03
9.8000000000000000e+01,3.8750095548414956e-165,9.0890326755271174e-166,2.6941315546762431e-03
9.9000000000000000e+01,2.7878252493712630e-163,6.4217137122263067e-164,3.3460628756419352e-03
1.0000000000000000e+02,1.8786841641659555e-161,4.2508553385293165e-162,4.2691235226545608e-03
1.0100000000000000e+02,1.1868399486368535e-159,2.6384451760325835e-160,5.1453346981573667e-03
1.0200000000000000e+02,7.0342370517750778e-158,1.5367416444062055e-158,5.7666835083033862e-03
1.0300000000000000e+02,3.9142295031731689e-156,8.4052304951124664e-157,5.9046423540817291e-03
1.0400000000000000e+02,2.0463487134252068e-154,4.3200554001829998e-155,5.2143302124568660e-03
1.0500000000000000e+02,1.0057689606739834e-152,2.0878267175172558e-153,3.8076431435303251e-03
1.0600000000000000e+02,4.6501237771264350e-151,9.4933297382914387e-152,2.5512393874510559e-03
1.0700000000000000e+02,2.0235872805463113e-149,4.0634361912697650e-150,2.2011038191125246e-03
1.0800000000000000e+02,8.2926715451742371e-148,1.6380537089071981e-148,2.9082238853194559e-03
1.0900000000000000e+02,3.2017389778379148e-146,6.2216806907857103e-147,4.0714916126405546e-03
1.1000000000000000e+02,1.1651430506848980e-144,2.2273666952955630e-145,4.0437102168549774e-03
1.1100000000000000e+02,3.9979325398379946e-143,7.5181708675506173e-144,2.3135791435017917e-03
1.1200000000000000e+02,1.2938752791483423e-141,2.3931573676731006e-142,7.5774503504385529e-04
1.1300000000000000e+02,3.9506017550530379e-140,7.1851874962104705e-141,4.1483073289449882e-04
1.1400000000000000e+02,1.1382417031928358e-138,2.0349099662135442e-139,1.3595649781910843e-03
1.1500000000000000e+02,3.0950216128578551e-137,5.4360510656718679e-138,4.7219853503057034e-03
1.1600000000000000e+02,7.9428526488008042e-136,1.3696089961432652e-136,9.1935326520625991e-03
1.1700000000000000e+02,1.9238143863551951e-134,3.2536645075681190e-135,1.1048451371309172e-02
1.1800000000000000e+02,4.3971772045784795e-133,7.2850970636641520e-134,1.0360224213741644e-02
1.1900000000000000e+02,9.4823001220696938e-132,1.5364896529634243e-132,1.0536321321796681e-02
1.2000000000000000e+02,1.9285664081156942e-130,3.0500421719441015e-131,1.3579706932208689e-02
1.2100000000000000e+02,3.6976634771541850e-129,5.6924056027613824e-130,1.7948952851269639e-02
1.2200000000000000e+02,6.6789725035193069e-128,9.9742741705659371e-129,1.8979831276386978e-02
1.2300000000000000e+02,1.1355617661781750e-126,1.6377542597811240e-127,1.5167245787207070e-02
1.2400000000000000e+02,1.8153136953899009e-125,2.5137626638979145e-126,1.0908712650830748e-02
1.2500000000000000e+02,2.7246945921398891e-124,3.5948111126407268e-125,9.9545105763556817e-03
1.2600000000000000e+02,3.8328464949161666e-123,4.7682891773733184e-124,1.2376121667372373e-02
1.2700000000000000e+02,5.0413662591410814e-122,5.8302232945497435e-123,1.5250695224340964e-02
1.2800000000000000e+02,6.1813016218903358e-121,6.5127066553407041e-122,1.4856769128634173e-02
1.2900000000000000e+02,7.0368241143701107e-120,6.5574350396826307e-121,1.1770019182734131e-02
1.3000000000000000e+02,7.3976341556222065e-119,5.8231228275942240e-120,9.4211701834264888e-03
1.3100000000000000e+02,7.1280659269724759e-118,4.3877539112882265e-119,8.9221654022314748e-03
1.3200000000000000e+02,6.2274235599403022e-117,2.5899737691265631e-118,8.4225294463128493e-03
1.3300000000000000e+02,4.8520530379528120e-116,9.6417679189021354e-118,5.7627083807491710e-03
1.3400000000000000e+02,3.2809577906363097e-115,6.6593700140131570e-118,2.2107834588485833e-03
1.3500000000000000e+02,1.8311089972732316e-114,2.4982231574721057e-116,4.3770308403963306e-04
1.3600000000000000e+02,7.5444724587014596e-114,1.4876141117632801e-114,1.9996912693714448e-04
1.3700000000000000e+02,1.6076043909214244e-113,3.3470986258505231e-113,8.2344749697425346e-04
1.3800000000000000e+02,8.7107945946624698e-116,5.1428652528126817e-112,2.7032244399150182e-03
1.3900000000000000e+02,1.0924129913976049e-111,6.2142117752996673e-111,4.7601410048404621e-03
1.4000000000000000e+02,2.9563220021575903e-110,6.1963323371347021e-110,5.2488589026366923e-03
1.4100000000000000e+02,4.1587858669458406e-109,5.1536843816347815e-109,4.0016378971280383e-03
1.4200000000000000e+02,4.1498119973668718e-108,3.5151425922973038e-108,2.0800991041639706e-03
1.4300000000000000e+02,3.1712285573665446e-107,1.8550748133697014e-107,6.0892372159926074e-04
1.4400000000000000e+02,1.8492310184438690e-106,6.4014103486910979e-107,5.8628044447309984e-05
1.4500000000000000e+02,7.5509112982766829e-106,6.5932862666674637e-107,8.9990520987436640e-06
1.4600000000000000e+02,1.5426099850869390e-105,4.4428468783566512e-106,2.3751478698209733e-04
1.4700000000000000e+02,2.6974854425445364e-108,3.1698305428076739e-104,1.6583119045598068e-03
1.4800000000000000e+02,8.3063755487723472e-104,6.1051495691719327e-103,4.4437553722219596e-03
1.4900000000000000e+02,1.9930998288355910e-102,7.5305048529781227e-102,6.4861937982222439e-03
1.5000000000000000e+02,2.4228586253415113e-101,7.0744602063098582e-101,6.0935210912377458e-03
1.5100000000000000e+02,2.0473296519793695e-100,5.3443592781608424e-100,4.3270492478717634e-03
1.5200000000000000e+02,1.2978726892463079e-99,3.2693075656421926e-99,3.0108956488298874e-03
1.5300000000000000e+02,6.1191240863504289e-99,1.5664940747182587e-98,2.7071256318284987e-03
1.5400000000000000e+02,1.9338318779252794e-98,5.2675281678909183e-98,3.1405031552839105e-03
1.5500000000000000e+02,2.6546148468867408e-98,8.2531503568882389e-98,3.9221765848604095e-03
1.5600000000000000e+02,6.7725369581843953e-99,1.2682219263232329e-98,5.0425223210912992e-03
1.5700000000000000e+02,1.6504505969477781e-96,5.7276018940576919e-96,7.0295467394741974e-03
1.5800000000000000e+02,2.5928089591339421e-95,1.1438847349149919e-94,1.0175165373598747e-02
1.5900000000000000e+02,2.1596007008042421e-94,1.2730771217609616e-93,1.3335514552936526e-02
1.6000000000000000e+02,1.1928510610834799e-93,1.0410598910051472e-92,1.4450215794566674e-02
1.6100000000000000e+02,4.3540747989336768e-93,6.8132588286625130e-92,1.3302771653784285e-02
1.6200000000000000e+02,8.3227752514820649e-93,3.6735181673268399e-91,1.1914228045737576e-02
1.6300000000000000e+02,9.4550414570648946e-94,1.6311485696677409e-90,1.1765251515937047e-02
1.6400000000000000e+02,1.1831300362204549e-91,5.7928310242650158e-90,1.2329725888087770e-02
1.6500000000000000e+02,2.3694024063933878e-90,1.5143982368626743e-89,1.2080239119484002e-02
1.6600000000000000e+02,1.9378725916053168e-89,2.2514972539009317e-89,1.0839019173036639e-02
1.6700000000000000e+02,9.4168313229402138e-89,2.6259084440825594e-90,1.0199168107067030e-02
1.6800000000000000e+02,2.6125663757835980e-88,1.9653494935632508e-88,1.1267336893549503e-02
1.6900000000000000e+02,2.1670198439867896e-88,3.6348725304917789e-87,1.3031049191802431e-02
1.7000000000000000e+02,5.8043942406348796e-88,2.8720667811742815e-86,1.2890323228072214e-02
1.7100000000000000e+02,2.9325035454043745e-86,1.4980175165164693e-85,1.0175742811219472e-02
1.7200000000000000e+02,3.1304628574647275e-85,5.6257417528315216e-85,7.3512248781929983e-03
1.7300000000000000e+02,1.8500111571675489e-84,1.4732967136432778e-84,6.2416852847691599e-03
1.7400000000000000e+02,6.7452705319793968e-84,2.1793467722822633e-84,6.2341772718303452e-03
1.7500000000000000e+02,1.2590589055886562e-83,4.1273516724850691e-85,5.4064696399947687e-03
1.7600000000000000e+02,1.7855838102768707e-84,1.0767134715552159e-83,3.2111395049091158e-03
1.7700000000000000e+02,1.3563629764071437e-82,1.9276012336979623e-82,1.4439743086352005e-03
1.7800000000000000e+02,2.6068754190275524e-81,1.3100959103120242e-81,1.0615119156301151e-03
1.7900000000000000e+02,2.0066655350884734e-80,5.5332348116066174e-81,1.8178040892539045e-03
1.8000000000000000e+02,9.4300633385833455e-80,1.5530148049597165e-80,2.9052227845482530e-03
1.8100000000000000e+02,2.7980285870216152e-79,2.5426789162336670e-80,2.6497036431328978e-03
1.8200000000000000e+02,4.1431196961989287e-79,1.0273630459208025e-80,1.3162579596036287e-03
1.8300000000000000e+02,2.0620929139665072e-80,4.4190710914085933e-80,5.2458511853406618e-04
