t,I,e_in,e_out
0.0000000000000000e+00,1.9245008972987521e-01,1.9245008972987521e-01,0.0000000000000000e+00
3.2064128256513023e+01,1.4470670844743433e-02,1.3328660158399350e-01,1.1881593073925006e-01
6.4128256513026045e+01,1.8017034123387857e-02,1.3446547509145487e-01,1.1644844096806702e-01
9.6192384769539075e+01,1.4512479899710884e-02,1.3330049964896878e-01,1.1878801974925790e-01
1.2825651302605209e+02,1.4158235860154800e-02,1.3318274270175365e-01,1.1902450684159885e-01
1.6032064128256511e+02,1.7059286598361589e-02,1.3414710297461901e-01,1.1708781637625743e-01
1.9238476953907815e+02,1.8595237464358816e-02,1.3465768004820594e-01,1.1606244258384713e-01
2.2444889779559117e+02,1.2424652447238407e-02,1.3260646909471255e-01,1.2018181664747414e-01
2.5651302605210418e+02,1.3780698536243197e-02,1.3305724265726626e-01,1.1927654412102306e-01
2.8857715430861720e+02,1.6132085803325397e-02,1.3383888512791717e-01,1.1770679932459177e-01
3.2064128256513021e+02,1.3786538663142445e-02,1.3305918401813099e-01,1.1927264535498855e-01
3.5270541082164323e+02,1.3654859930336286e-02,1.3301541169211567e-01,1.1936055176177938e-01
3.8476953907815630e+02,1.9165978165534475e-02,1.3484740429227765e-01,1.1568142612674318e-01
4.1683366733466931e+02,1.4433787203461695e-02,1.3327434081312703e-01,1.1884055360966533e-01
4.4889779559118233e+02,1.2858665272215519e-02,1.3275074258872918e-01,1.1989207731651366e-01
4.8096192384769535e+02,1.5332023863320832e-02,1.3357293047203608e-01,1.1824090660871525e-01
5.1302605210420836e+02,1.3771034984027403e-02,1.3305403032260057e-01,1.1928299533857317e-01
5.4509018036072143e+02,1.4724512331287756e-02,1.3337098295726674e-01,1.1864647062597898e-01
5.7715430861723439e+02,1.7038349381420029e-02,1.3414014307557984e-01,1.1710179369415981e-01
6.0921843687374746e+02,1.5437189154230688e-02,1.3360788926379433e-01,1.1817070010956364e-01
6.4128256513026042e+02,1.4647701611941871e-02,1.3334544972363779e-01,1.1869774811169592e-01
6.7334669338677350e+02,1.5060279795898163e-02,1.3348259796610670e-01,1.1842231817020854e-01
7.0541082164328645e+02,1.4240095621836923e-02,1.3320995432582805e-01,1.1896985870399113e-01
7.3747494989979953e+02,1.4547179997359411e-02,1.3331203457153737e-01,1.1876485457417796e-01
7.6953907815631260e+02,1.6426905352101603e-02,1.3393688832956974e-01,1.1750998297746813e-01
8.0160320641282556e+02,1.3881664652458672e-02,1.3309080556952355e-01,1.1920914091706487e-01
8.3366733466933863e+02,1.5245654205406037e-02,1.3354421967915706e-01,1.1829856547375102e-01
8.6573146292585159e+02,1.5693634126492051e-02,1.3369313608149602e-01,1.1799950195500397e-01
8.9779559118236466e+02,1.2577504751241655e-02,1.3265727988807482e-01,1.2007977513683317e-01
9.2985971943887762e+02,1.3970061516416735e-02,1.3312019024133354e-01,1.1915012872491680e-01
9.6192384769539069e+02,1.6834913352940545e-02,1.3407251736281525e-01,1.1723760400987471e-01
9.9398797595190365e+02,1.6023224111763101e-02,1.3380269758758861e-01,1.1777947347582551e-01
1.0260521042084167e+03,1.2220424826907800e-02,1.3253858024289764e-01,1.2031815541598984e-01
1.0581162324649297e+03,1.5998636925115800e-02,1.3379452437444470e-01,1.1779588744932890e-01
1.0901803607214429e+03,1.4824228253450131e-02,1.3340413028303932e-01,1.1857990202958919e-01
1.1222444889779558e+03,1.4017049488388875e-02,1.3313580986937876e-01,1.1911876038098988e-01
1.1543086172344688e+03,1.6205556812935604e-02,1.3386330818330772e-01,1.1765775137037211e-01
1.1863727454909817e+03,1.5644212629260273e-02,1.3367670750686608e-01,1.1803249487760581e-01
1.2184368737474949e+03,1.4732320388784567e-02,1.3337357849286174e-01,1.1864125810407718e-01
1.2505010020040079e+03,1.6776976879009253e-02,1.3405325826021658e-01,1.1727628138120733e-01
1.2825651302605208e+03,1.6292348381261951e-02,1.3389215922662470e-01,1.1759981084536275e-01
1.3146292585170340e+03,1.6113326072056580e-02,1.3383264906339978e-01,1.1771932299134320e-01
1.3466933867735470e+03,1.7158448368499502e-02,1.3418006609051397e-01,1.1702161772201447e-01
1.3787575150300599e+03,1.5117303245818919e-02,1.3350155356346896e-01,1.1838425031765004e-01
1.4108216432865729e+03,1.6649989857893441e-02,1.3401104554165852e-01,1.1736105568376508e-01
1.4428857715430861e+03,1.5581100533550760e-02,1.3365572793658850e-01,1.1807462740303774e-01
1.4749498997995991e+03,1.4296989841272395e-02,1.3322886696470468e-01,1.1893187712343228e-01
1.5070140280561120e+03,1.4495495662312327e-02,1.3329485378983050e-01,1.1879935812751817e-01
1.5390781563126252e+03,1.6240871808010038e-02,1.3387504750859261e-01,1.1763417570058257e-01
1.5711422845691382e+03,1.5872758423600961e-02,1.3375268014729169e-01,1.1787992172369073e-01
1.6032064128256511e+03,1.7398307060729465e-02,1.3425979933710633e-01,1.1686149227637686e-01
1.6352705410821641e+03,1.5288009360238858e-02,1.3355829927732776e-01,1.1827028991708891e-01
1.6673346693386773e+03,1.4047974271826649e-02,1.3314608981112477e-01,1.1909811553929812e-01
1.6993987975951902e+03,1.3813159123199581e-02,1.3306803312710308e-01,1.1925487400390350e-01
1.7314629258517032e+03,1.6996181708861552e-02,1.3412612579980929e-01,1.1712994409094774e-01
1.7635270541082161e+03,1.5092050007071978e-02,1.3349315894289568e-01,1.1840110893582370e-01
1.7955911823647293e+03,1.7172422275324034e-02,1.3418471126283651e-01,1.1701228898751248e-01
1.8276553106212423e+03,1.3191307760305984e-02,1.3286131880042659e-01,1.1967001104012061e-01
1.8597194388777552e+03,1.4275453258263668e-02,1.3322170782584652e-01,1.1894625456758286e-01
1.8917835671342684e+03,1.5170057277979238e-02,1.3351908993130135e-01,1.1834903265332211e-01
1.9238476953907814e+03,1.7009137376310129e-02,1.3413043249146073e-01,1.1712129511515060e-01
1.9559118236472943e+03,1.5753212174800024e-02,1.3371294087227736e-01,1.1795972869747734e-01
1.9879759519038073e+03,1.5521786703455151e-02,1.3363601097658301e-01,1.1811422427312786e-01
2.0200400801603205e+03,1.3245442479276032e-02,1.3287931413283108e-01,1.1963387165355505e-01
2.0521042084168334e+03,1.5550021235943651e-02,1.3364539663161337e-01,1.1809537539566972e-01
2.0841683366733464e+03,1.4668357234702598e-02,1.3335231601581615e-01,1.1868395878111355e-01
2.1162324649298594e+03,1.5546397820245375e-02,1.3364419214452672e-01,1.1809779432428134e-01
2.1482965931863723e+03,1.4690491439635980e-02,1.3335967381470867e-01,1.1866918237507269e-01
2.1803607214428857e+03,1.7092471340001192e-02,1.3415813416620365e-01,1.1706566282620245e-01
2.2124248496993987e+03,1.5017596713784831e-02,1.3346840935913715e-01,1.1845081264535232e-01
2.2444889779559117e+03,1.4872651596356742e-02,1.3342022705361842e-01,1.1854757545726168e-01
2.2765531062124246e+03,1.3114744946659235e-02,1.3283586797501010e-01,1.1972112302835086e-01
2.3086172344689376e+03,1.5885700837603628e-02,1.3375698243326350e-01,1.1787128159565988e-01
2.3406813627254505e+03,1.3294532622476221e-02,1.3289563255955353e-01,1.1960109993707731e-01
2.3727454909819635e+03,1.5887798463550762e-02,1.3375767972100955e-01,1.1786988125745879e-01
2.4048096192384769e+03,1.5134468413639857e-02,1.3350725956705556e-01,1.1837279115341570e-01
2.4368737474949899e+03,1.3672956911813708e-02,1.3302142744694298e-01,1.1934847053512927e-01
2.4689378757515028e+03,1.4475874507747594e-02,1.3328833137306378e-01,1.1881245686531619e-01
2.5010020040080158e+03,1.7777274910625876e-02,1.3438577491358092e-01,1.1660850000295504e-01
2.5330661322645287e+03,1.4427047644061414e-02,1.3327210046508006e-01,1.1884505282101865e-01
2.5651302605210417e+03,1.7223912890709028e-02,1.3420182764871832e-01,1.1697791475800930e-01
2.5971943887775547e+03,1.6363319353093847e-02,1.3391575122550003e-01,1.1755243187240619e-01
2.6292585170340681e+03,1.3602276664257923e-02,1.3299793208992539e-01,1.1939565542566746e-01
2.6613226452905810e+03,1.4716085596246667e-02,1.3336818176237214e-01,1.1865209616612547e-01
2.6933867735470940e+03,1.7206397085107100e-02,1.3419600508696578e-01,1.1698960800185867e-01
2.7254509018036069e+03,1.5118220818714445e-02,1.3350185858082969e-01,1.1838363776211525e-01
2.7575150300601199e+03,1.5860923613057867e-02,1.3374874604818002e-01,1.1788782243512215e-01
2.7895791583166329e+03,1.7105457407515068e-02,1.3416245096337040e-01,1.1705699355585533e-01
2.8216432865731458e+03,1.3393870676353795e-02,1.3292865427526454e-01,1.1953478359891075e-01
2.8537074148296592e+03,1.5668927590793358e-02,1.3368492319462486e-01,1.1801599560383150e-01
2.8857715430861722e+03,1.6198868130364183e-02,1.3386108474761399e-01,1.1766221661724981e-01
2.9178356713426851e+03,1.4927188733782376e-02,1.3343835615699196e-01,1.1851116742320958e-01
2.9498997995991981e+03,1.5398064442420381e-02,1.3359488352167651e-01,1.1819681907925612e-01
2.9819639278557111e+03,1.5945904801546257e-02,1.3377699528940784e-01,1.1783109048786158e-01
3.0140280561122240e+03,1.4313878596477744e-02,1.3323448108387673e-01,1.1892060248739898e-01
3.0460921843687370e+03,1.6008773728757669e-02,1.3379789402620049e-01,1.1778912029744282e-01
3.0781563126252504e+03,1.4870796272295497e-02,1.3341961031127758e-01,1.1854881403898208e-01
3.1102204408817634e+03,1.6141104186788838e-02,1.3384188299713928e-01,1.1770077881035045e-01
3.1422845691382763e+03,1.4037865264673779e-02,1.3314272939940316e-01,1.1910486413472939e-01
3.1743486973947893e+03,1.5158785079193604e-02,1.3351534285422972e-01,1.1835655777503612e-01
3.2064128256513022e+03,1.5813074566885937e-02,1.3373284018392959e-01,1.1791976561704365e-01
3.2384769539078152e+03,1.5151705957784645e-02,1.3351298962980523e-01,1.1836128367202059e-01
3.2705410821643281e+03,1.5641499700155825e-02,1.3367580568152743e-01,1.1803430598137160e-01
3.3026052104208411e+03,1.6347163370432100e-02,1.3391038069280051e-01,1.1756321732236841e-01
3.3346693386773545e+03,1.4977982510960358e-02,1.3345524090160241e-01,1.1847725839064205e-01
3.3667334669338675e+03,1.7929511395648370e-02,1.3443638099788599e-01,1.1650686960223762e-01
3.3987975951903804e+03,1.5736718329418170e-02,1.3370745802806763e-01,1.1797073969864946e-01
3.4308617234468934e+03,1.4578499012821489e-02,1.3332244556293515e-01,1.1874394655011367e-01
3.4629258517034064e+03,1.5798275315046198e-02,1.3372792065241090e-01,1.1792964533736471e-01
3.4949899799599193e+03,1.5758418984614650e-02,1.3371467170740473e-01,1.1795625272279008e-01
3.5270541082164323e+03,1.4543794284367584e-02,1.3331090910100385e-01,1.1876711481663627e-01
3.5591182364729457e+03,1.5633049860078380e-02,1.3367299680611644e-01,1.1803994694603806e-01
3.5911823647294586e+03,1.6319311344920220e-02,1.3390112218981381e-01,1.1758181084489359e-01
3.6232464929859716e+03,1.5185711782465000e-02,1.3352429376383274e-01,1.1833858198136774e-01
3.6553106212424846e+03,1.7242182575991860e-02,1.3420790081332923e-01,1.1696571823733737e-01
3.6873747494989975e+03,1.3517835986776194e-02,1.3296986252405693e-01,1.1945202653728074e-01
3.7194388777555105e+03,1.3546876563137814e-02,1.3297951612224299e-01,1.1943263955910517e-01
3.7515030060120234e+03,1.4863038411534565e-02,1.3341703146195721e-01,1.1855399305042265e-01
